# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403636624.661724090576172,0.00302,0.00011,0.00028,0.00000,0.00001,0.00119,0.00462
1403636624.713744878768921,0.00296,0.00010,0.00211,0.00000,0.00225,0.00111,0.00854
1403636624.763458251953125,0.00309,0.00036,0.00067,0.00020,0.00000,0.00123,0.00555
1403636624.813477516174316,0.00406,0.00015,0.00003,0.00026,0.00000,0.00174,0.00624
1403636624.863007068634033,0.00279,0.00017,0.00020,0.00017,0.00014,0.00128,0.00476
1403636624.912626743316650,0.00271,0.00013,0.00020,0.00017,0.00001,0.00126,0.00447
1403636624.962452411651611,0.00262,0.00012,0.00020,0.00014,0.00001,0.00127,0.00437
1403636625.012206315994263,0.00240,0.00014,0.00023,0.00012,0.00001,0.00147,0.00437
1403636625.062029600143433,0.00311,0.00013,0.00020,0.00011,0.00025,0.00138,0.00517
1403636625.111891984939575,0.00244,0.00013,0.00023,0.00016,0.00016,0.00140,0.00452
1403636625.161583185195923,0.00240,0.00012,0.00024,0.00012,0.00024,0.00134,0.00447
1403636625.211676359176636,0.00332,0.00012,0.00022,0.00012,0.00000,0.00187,0.00565
1403636625.261968135833740,0.00269,0.00012,0.00051,0.00007,0.00017,0.00142,0.00499
1403636625.311443567276001,0.00262,0.00012,0.00174,0.00009,0.00613,0.00132,0.01203
1403636625.361279726028442,0.00266,0.00015,0.00017,0.00039,0.00351,0.00180,0.00868
1403636625.411024093627930,0.00307,0.00013,0.00033,0.00035,0.00010,0.00135,0.00533
1403636625.461006641387939,0.00258,0.00014,0.00007,0.00033,0.00042,0.00159,0.00512
1403636625.510976791381836,0.00263,0.00015,0.00013,0.00023,0.00050,0.00135,0.00500
1403636625.561023950576782,0.00253,0.00011,0.00011,0.00012,0.00001,0.00139,0.00428
1403636625.610818624496460,0.00236,0.00014,0.00004,0.00005,0.00136,0.00149,0.00544
1403636625.660706520080566,0.00239,0.00014,0.00008,0.00009,0.00023,0.00136,0.00428
1403636625.710501194000244,0.00260,0.00015,0.00033,0.00010,0.00016,0.00136,0.00470
1403636625.760342121124268,0.00286,0.00012,0.00053,0.00011,0.00092,0.00129,0.00583
1403636625.810343265533447,0.00287,0.00009,0.00048,0.00003,0.00000,0.00153,0.00500
1403636625.860343217849731,0.00306,0.00011,0.00039,0.00002,0.00003,0.00135,0.00497
1403636625.910342931747437,0.00298,0.00010,0.00050,0.00000,0.00128,0.00134,0.00621
1403636625.960679292678833,0.00306,0.00010,0.00088,0.00007,0.00137,0.00123,0.00671
1403636626.010674953460693,0.00402,0.00010,0.00024,0.00008,0.00000,0.00136,0.00580
1403636626.060718059539795,0.00325,0.00013,0.00042,0.00009,0.00004,0.00127,0.00520
1403636626.111201763153076,0.00306,0.00012,0.00023,0.00006,0.00060,0.00149,0.00556
1403636626.161352396011353,0.00257,0.00009,0.00035,0.00013,0.00037,0.00130,0.00481
1403636626.211364030838013,0.00257,0.00009,0.00028,0.00009,0.00113,0.00167,0.00583
1403636626.261400938034058,0.00286,0.00009,0.00026,0.00015,0.00000,0.00126,0.00463
1403636626.311289310455322,0.00262,0.00011,0.00036,0.00015,0.00076,0.00138,0.00538
1403636626.361245632171631,0.00331,0.00013,0.00026,0.00018,0.00202,0.00129,0.00719
1403636626.411181211471558,0.00275,0.00011,0.00009,0.00028,0.00042,0.00133,0.00498
1403636626.461029291152954,0.00260,0.00014,0.00007,0.00010,0.00206,0.00129,0.00626
