# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403636624.663555383682251,0.00218,0.00009,0.00021,0.00000,0.00001,0.00099,0.00348
1403636624.713555574417114,0.00312,0.00009,0.00104,0.00000,0.00139,0.00100,0.00665
1403636624.763555526733398,0.00248,0.00011,0.00058,0.00011,0.00000,0.00096,0.00424
1403636624.813555479049683,0.00217,0.00009,0.00005,0.00012,0.00000,0.00110,0.00353
1403636624.863555431365967,0.00220,0.00010,0.00011,0.00010,0.00015,0.00109,0.00375
1403636624.913555383682251,0.00233,0.00009,0.00012,0.00015,0.00001,0.00108,0.00378
1403636624.963555574417114,0.00230,0.00010,0.00009,0.00013,0.00001,0.00122,0.00385
1403636625.013555526733398,0.00217,0.00010,0.00022,0.00011,0.00001,0.00112,0.00373
1403636625.063555479049683,0.00298,0.00010,0.00030,0.00008,0.00027,0.00121,0.00494
1403636625.113555431365967,0.00202,0.00009,0.00010,0.00010,0.00000,0.00113,0.00345
1403636625.163555383682251,0.00319,0.00010,0.00024,0.00006,0.00023,0.00118,0.00501
1403636625.213555574417114,0.00266,0.00009,0.00013,0.00006,0.00012,0.00114,0.00420
1403636625.263555526733398,0.00217,0.00010,0.00028,0.00008,0.00000,0.00125,0.00387
1403636625.313555479049683,0.00289,0.00009,0.00054,0.00006,0.00383,0.00121,0.00862
1403636625.363555431365967,0.00222,0.00010,0.00025,0.00016,0.00110,0.00118,0.00502
1403636625.413555383682251,0.00202,0.00009,0.00007,0.00021,0.00000,0.00116,0.00355
1403636625.463555574417114,0.00234,0.00008,0.00002,0.00029,0.00037,0.00118,0.00428
1403636625.513555526733398,0.00299,0.00010,0.00009,0.00018,0.00036,0.00128,0.00501
1403636625.563555479049683,0.00252,0.00009,0.00004,0.00018,0.00007,0.00119,0.00410
1403636625.613555431365967,0.00287,0.00010,0.00002,0.00017,0.00080,0.00117,0.00513
1403636625.663555383682251,0.00242,0.00010,0.00001,0.00023,0.00022,0.00120,0.00418
1403636625.713555574417114,0.00327,0.00010,0.00030,0.00022,0.00050,0.00128,0.00567
1403636625.763555526733398,0.00293,0.00011,0.00043,0.00020,0.00009,0.00112,0.00490
1403636625.813555479049683,0.00390,0.00012,0.00034,0.00015,0.00007,0.00108,0.00565
1403636625.863555431365967,0.00254,0.00009,0.00072,0.00013,0.00159,0.00108,0.00614
1403636625.913555383682251,0.00254,0.00009,0.00049,0.00012,0.00111,0.00106,0.00540
1403636625.963555574417114,0.00303,0.00008,0.00018,0.00013,0.00027,0.00110,0.00479
1403636626.013555526733398,0.00380,0.00008,0.00037,0.00012,0.00007,0.00108,0.00553
1403636626.063555479049683,0.00259,0.00009,0.00012,0.00015,0.00005,0.00108,0.00409
1403636626.113555431365967,0.00272,0.00009,0.00029,0.00013,0.00039,0.00120,0.00482
