# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403636624.663555383682251,0.00233,0.00010,0.00021,0.00000,0.00001,0.00100,0.00366
1403636624.713555574417114,0.00296,0.00009,0.00088,0.00000,0.00120,0.00114,0.00628
1403636624.763555526733398,0.00264,0.00010,0.00057,0.00008,0.00000,0.00105,0.00445
1403636624.813555479049683,0.00252,0.00010,0.00006,0.00013,0.00000,0.00120,0.00401
1403636624.863555431365967,0.00253,0.00010,0.00008,0.00009,0.00001,0.00121,0.00401
1403636624.913555383682251,0.00268,0.00011,0.00013,0.00007,0.00001,0.00113,0.00413
1403636624.963555574417114,0.00242,0.00010,0.00006,0.00007,0.00000,0.00115,0.00381
1403636625.013555526733398,0.00253,0.00010,0.00018,0.00005,0.00000,0.00127,0.00414
1403636625.063555479049683,0.00292,0.00010,0.00031,0.00003,0.00021,0.00123,0.00481
1403636625.113555431365967,0.00231,0.00010,0.00015,0.00006,0.00001,0.00126,0.00390
1403636625.163555383682251,0.00315,0.00010,0.00016,0.00004,0.00025,0.00125,0.00496
1403636625.213555574417114,0.00249,0.00010,0.00014,0.00003,0.00008,0.00123,0.00408
1403636625.263555526733398,0.00235,0.00009,0.00028,0.00003,0.00000,0.00123,0.00398
1403636625.313555479049683,0.00309,0.00010,0.00050,0.00005,0.00387,0.00121,0.00882
1403636625.363555431365967,0.00238,0.00010,0.00021,0.00013,0.00055,0.00132,0.00471
1403636625.413555383682251,0.00214,0.00008,0.00006,0.00014,0.00000,0.00114,0.00356
1403636625.463555574417114,0.00218,0.00008,0.00001,0.00015,0.00035,0.00118,0.00395
1403636625.513555526733398,0.00226,0.00010,0.00008,0.00020,0.00050,0.00134,0.00447
1403636625.563555479049683,0.00223,0.00008,0.00005,0.00016,0.00000,0.00135,0.00386
1403636625.613555431365967,0.00219,0.00010,0.00001,0.00014,0.00077,0.00128,0.00449
1403636625.663555383682251,0.00279,0.00010,0.00001,0.00015,0.00017,0.00120,0.00443
1403636625.713555574417114,0.00239,0.00010,0.00028,0.00012,0.00049,0.00121,0.00460
1403636625.763555526733398,0.00245,0.00008,0.00033,0.00011,0.00011,0.00118,0.00425
1403636625.813555479049683,0.00319,0.00007,0.00035,0.00012,0.00000,0.00108,0.00483
1403636625.863555431365967,0.00266,0.00009,0.00072,0.00011,0.00124,0.00108,0.00590
1403636625.913555383682251,0.00274,0.00009,0.00046,0.00014,0.00232,0.00103,0.00677
1403636625.963555574417114,0.00293,0.00009,0.00023,0.00027,0.00011,0.00106,0.00470
1403636626.013555526733398,0.00329,0.00009,0.00029,0.00025,0.00000,0.00129,0.00521
1403636626.063555479049683,0.00285,0.00010,0.00014,0.00026,0.00006,0.00106,0.00447
1403636626.113555431365967,0.00255,0.00009,0.00023,0.00023,0.00017,0.00102,0.00431
1403636626.163555383682251,0.00221,0.00009,0.00044,0.00024,0.00000,0.00107,0.00405
1403636626.213555574417114,0.00227,0.00009,0.00027,0.00023,0.00109,0.00115,0.00511
1403636626.263555526733398,0.00255,0.00007,0.00016,0.00034,0.00006,0.00109,0.00427
1403636626.313555479049683,0.00209,0.00009,0.00027,0.00021,0.00034,0.00114,0.00413
1403636626.363555431365967,0.00213,0.00008,0.00013,0.00020,0.00192,0.00107,0.00553
1403636626.413555383682251,0.00217,0.00009,0.00008,0.00029,0.00069,0.00119,0.00451
1403636626.463555574417114,0.00187,0.00009,0.00006,0.00015,0.00254,0.00110,0.00581
