# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403637149.988318920135498,0.00218,0.00008,0.00041,0.00000,0.00001,0.00097,0.00366
1403637150.038319110870361,0.00289,0.00008,0.00087,0.00000,0.00118,0.00095,0.00598
1403637150.088319063186646,0.00293,0.00009,0.00107,0.00009,0.00000,0.00093,0.00511
1403637150.138319015502930,0.00268,0.00010,0.00015,0.00008,0.00000,0.00105,0.00407
1403637150.188318967819214,0.00308,0.00009,0.00016,0.00007,0.00000,0.00098,0.00438
1403637150.238318920135498,0.00281,0.00009,0.00025,0.00005,0.00000,0.00098,0.00419
1403637150.288319110870361,0.00359,0.00009,0.00027,0.00004,0.00001,0.00099,0.00500
1403637150.338319063186646,0.00336,0.00010,0.00027,0.00003,0.00001,0.00109,0.00487
1403637150.388319015502930,0.00309,0.00009,0.00047,0.00002,0.00001,0.00108,0.00475
1403637150.438318967819214,0.00259,0.00009,0.00037,0.00002,0.00000,0.00100,0.00407
1403637150.488318920135498,0.00264,0.00009,0.00029,0.00000,0.00001,0.00102,0.00406
1403637150.538319110870361,0.00275,0.00011,0.00015,0.00000,0.00000,0.00117,0.00418
1403637150.588319063186646,0.00257,0.00011,0.00055,0.00000,0.00000,0.00105,0.00428
1403637150.638319015502930,0.00267,0.00009,0.00103,0.00000,0.00295,0.00113,0.00787
1403637150.688318967819214,0.00243,0.00010,0.00038,0.00013,0.00000,0.00105,0.00410
1403637150.738318920135498,0.00259,0.00010,0.00024,0.00012,0.00000,0.00115,0.00420
1403637150.788319110870361,0.00295,0.00009,0.00014,0.00012,0.00023,0.00108,0.00462
1403637150.838319063186646,0.00254,0.00013,0.00031,0.00014,0.00022,0.00117,0.00451
1403637150.888319015502930,0.00222,0.00009,0.00029,0.00012,0.00130,0.00105,0.00508
1403637150.938318967819214,0.00281,0.00010,0.00012,0.00019,0.00004,0.00116,0.00443
1403637150.988318920135498,0.00240,0.00010,0.00015,0.00019,0.00080,0.00108,0.00472
1403637151.038319110870361,0.00253,0.00011,0.00023,0.00025,0.00058,0.00109,0.00479
1403637151.088319063186646,0.00217,0.00010,0.00036,0.00035,0.00028,0.00108,0.00435
1403637151.138319015502930,0.00227,0.00010,0.00065,0.00020,0.00074,0.00125,0.00521
1403637151.188318967819214,0.00271,0.00010,0.00015,0.00025,0.00139,0.00126,0.00586
1403637151.238318920135498,0.00209,0.00010,0.00020,0.00035,0.00088,0.00110,0.00471
1403637151.288319110870361,0.00244,0.00010,0.00012,0.00035,0.00030,0.00113,0.00444
1403637151.338319063186646,0.00230,0.00013,0.00019,0.00015,0.00113,0.00121,0.00511
1403637151.388319015502930,0.00228,0.00010,0.00018,0.00013,0.00012,0.00119,0.00398
1403637151.438318967819214,0.00270,0.00010,0.00033,0.00009,0.00014,0.00109,0.00444
1403637151.488318920135498,0.00266,0.00010,0.00012,0.00005,0.00230,0.00109,0.00631
1403637151.538319110870361,0.00237,0.00011,0.00013,0.00010,0.00015,0.00116,0.00402
1403637151.588319063186646,0.00258,0.00011,0.00016,0.00010,0.00139,0.00109,0.00541
1403637151.638319015502930,0.00249,0.00010,0.00010,0.00013,0.00035,0.00113,0.00431
1403637151.688318967819214,0.00200,0.00010,0.00031,0.00014,0.00006,0.00109,0.00370
1403637151.738318920135498,0.00274,0.00010,0.00029,0.00011,0.00422,0.00114,0.00860
1403637151.788319110870361,0.00214,0.00011,0.00005,0.00063,0.00008,0.00110,0.00411
1403637151.838319063186646,0.00201,0.00010,0.00004,0.00063,0.00047,0.00112,0.00437
1403637151.888319015502930,0.00203,0.00010,0.00009,0.00070,0.00000,0.00111,0.00404
1403637151.938318967819214,0.00188,0.00010,0.00004,0.00064,0.00146,0.00124,0.00536
1403637151.988318920135498,0.00196,0.00011,0.00010,0.00094,0.00174,0.00109,0.00592
1403637152.038319110870361,0.00226,0.00011,0.00019,0.00123,0.00276,0.00111,0.00766
1403637152.088319063186646,0.00207,0.00011,0.00078,0.00146,0.00192,0.00108,0.00741
1403637152.138319015502930,0.00204,0.00013,0.00023,0.00164,0.00094,0.00125,0.00623
1403637152.188318967819214,0.00221,0.00014,0.00009,0.00188,0.00202,0.00108,0.00742
1403637152.238318920135498,0.00207,0.00013,0.00004,0.00208,0.00225,0.00104,0.00761
1403637152.288319110870361,0.00196,0.00013,0.00183,0.00242,0.00018,0.00116,0.00767
1403637152.338319063186646,0.00192,0.00013,0.00009,0.00238,0.00089,0.00109,0.00650
1403637152.388319015502930,0.00196,0.00013,0.00001,0.00262,0.00008,0.00108,0.00588
1403637152.438318967819214,0.00184,0.00013,0.00011,0.00259,0.00026,0.00103,0.00596
1403637152.488318920135498,0.00183,0.00012,0.00001,0.00276,0.00000,0.00112,0.00585
1403637152.538319110870361,0.00236,0.00015,0.00001,0.00267,0.00006,0.00120,0.00646
1403637152.588319063186646,0.00210,0.00013,0.00062,0.00257,0.00028,0.00114,0.00682
1403637152.638319015502930,0.00211,0.00013,0.00007,0.00248,0.00111,0.00113,0.00702
1403637152.688318967819214,0.00211,0.00013,0.00024,0.00266,0.00023,0.00111,0.00647
1403637152.738318920135498,0.00231,0.00013,0.00072,0.00279,0.00011,0.00122,0.00727
1403637152.788319110870361,0.00221,0.00014,0.00019,0.00255,0.00013,0.00112,0.00634
1403637152.838319063186646,0.00214,0.00013,0.00006,0.00253,0.00041,0.00115,0.00643
