# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403636624.661724090576172,0.00281,0.00011,0.00195,0.00000,0.00001,0.00503,0.00990
1403636624.713744878768921,0.00314,0.00011,0.00225,0.00000,0.00241,0.00110,0.00900
1403636624.763458251953125,0.00298,0.00017,0.00074,0.00020,0.00000,0.00114,0.00524
1403636624.813477516174316,0.00311,0.00013,0.00002,0.00023,0.00000,0.00130,0.00479
1403636624.863007068634033,0.00262,0.00012,0.00020,0.00017,0.00010,0.00132,0.00454
1403636624.912626743316650,0.00283,0.00013,0.00021,0.00017,0.00001,0.00125,0.00459
1403636624.962452411651611,0.00283,0.00012,0.00021,0.00013,0.00001,0.00132,0.00464
1403636625.012206315994263,0.00253,0.00012,0.00022,0.00013,0.00001,0.00134,0.00435
1403636625.062029600143433,0.00349,0.00012,0.00016,0.00012,0.00026,0.00130,0.00545
1403636625.111891984939575,0.00257,0.00012,0.00022,0.00016,0.00017,0.00141,0.00465
1403636625.161583185195923,0.00226,0.00012,0.00025,0.00012,0.00026,0.00129,0.00430
1403636625.211676359176636,0.00362,0.00012,0.00022,0.00010,0.00000,0.00138,0.00546
1403636625.261962652206421,0.00318,0.00013,0.00048,0.00007,0.00017,0.00202,0.00605
1403636625.312179088592529,0.00249,0.00013,0.00212,0.00008,0.00439,0.00132,0.01053
1403636625.362590551376343,0.00266,0.00014,0.00014,0.00018,0.00232,0.00131,0.00676
1403636625.413078069686890,0.00231,0.00009,0.00025,0.00026,0.00009,0.00129,0.00430
1403636625.463022708892822,0.00228,0.00011,0.00003,0.00028,0.00042,0.00129,0.00442
1403636625.512940645217896,0.00242,0.00014,0.00008,0.00023,0.00051,0.00133,0.00471
1403636625.562982320785522,0.00245,0.00011,0.00009,0.00019,0.00001,0.00140,0.00424
1403636625.613002777099609,0.00274,0.00013,0.00004,0.00005,0.00127,0.00136,0.00559
1403636625.662925004959106,0.00242,0.00013,0.00006,0.00011,0.00018,0.00140,0.00429
1403636625.712773323059082,0.00273,0.00013,0.00031,0.00005,0.00020,0.00162,0.00504
1403636625.762932538986206,0.00290,0.00011,0.00051,0.00009,0.00099,0.00131,0.00591
1403636625.812943935394287,0.00325,0.00012,0.00061,0.00007,0.00000,0.00145,0.00550
1403636625.862920761108398,0.00261,0.00010,0.00037,0.00007,0.00003,0.00130,0.00447
1403636625.912920713424683,0.00266,0.00009,0.00060,0.00002,0.00138,0.00121,0.00598
1403636625.963224411010742,0.00322,0.00012,0.00044,0.00002,0.00133,0.00129,0.00643
1403636626.013214826583862,0.00314,0.00010,0.00040,0.00006,0.00008,0.00121,0.00499
1403636626.063253641128540,0.00301,0.00013,0.00018,0.00010,0.00013,0.00122,0.00477
